eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,number_of_detected_causes,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10132,LCAIN10132-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,2.204575,7.219825,70.62816645596291,11,"L.Traffic.User.BorderUE.Avg: recent=0.79, baseline=0.37, change=115.56% | DL Traffic QCI-9: recent=1.18, baseline=6.69, change=82.31% | DL RBLER: recent=0.23, baseline=0.17, change=34.47% | (HU) User DL Average Throughput (Mbps): recent=21.19, baseline=34.82, change=39.14% | (HU)CEU User Downlink Average Througput: recent=12.74, baseline=20.13, change=36.74%",Border UE Increase,L.Traffic.User.BorderUE.Avg,Border/cell edge users increased.,"Check coverage overlap, handover zones, and cell dominance.","Check coverage overlap, handover zones, and cell dominance. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check radio quality, PRB load, scheduler behavior, and user distribution. | Check CEU parameters, ICIC, and edge coverage."
LCAIN10130_Site_144,LCAIN10130-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,13.282225,38.709775,70.52690909665606,2,"DL RBLER: recent=0.32, baseline=0.19, change=73.30% | (HU) Cell DL Average Throughput (Mbps): recent=18.08, baseline=25.03, change=27.74%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion."
LCAIN16546,LCAIN16546-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,3.165425,9.800725,67.58153486164676,6,"DL RBLER: recent=0.62, baseline=0.28, change=118.60% | DL Traffic QCI-9: recent=2.72, baseline=9.80, change=72.22% | DL_CCE_AllocFail (%): recent=0.37, baseline=0.28, change=32.09% | (HU) DL IBLER(%): recent=9.62, baseline=7.33, change=31.23% | L.CA.UE.Avg: recent=1.18, baseline=1.62, change=27.60%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check interference, CQI, MCS, antenna tilt, and DL power. | Check CA activation, SCell availability, and CA parameters."
LCAIN10118_CITY center,LCAIN10118-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,1.0939750000000001,4.19585,66.87186356463366,6,"DL Traffic QCI-9: recent=1.08, baseline=2.53, change=57.56% | (HU) Cell DL Average Throughput (Mbps): recent=9.09, baseline=13.16, change=30.90% | (HU) PDSCH MCS: recent=7.24, baseline=12.28, change=41.07% | L.CA.DLSCell.Add.Att: recent=852.25, baseline=1319.75, change=35.42% | L.CA.DLSCell.Act.Att: recent=1393.00, baseline=1956.00, change=28.78%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check CQI, SINR, interference, antenna direction, and coverage. | Check CA configuration and inter-frequency measurements. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN10514,LCAIN10514-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,2.614275,7.701275,66.51612728502408,2,"DL_CCE_AllocFail (%): recent=0.12, baseline=0.07, change=73.66% | (HU)CEU User Downlink Average Througput: recent=16.76, baseline=21.69, change=22.73%",Control Channel Congestion,DL_CCE_AllocFail (%),DL CCE allocation failure increased - directly blocks scheduling.,"Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical.","Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check CEU parameters, ICIC, and edge coverage."
LCAIN10369,LCAIN10369-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,1.2929,4.5084,66.43070885820993,10,"DL_CCE_AllocFail (%): recent=0.53, baseline=0.20, change=165.27% | (HU) DL IBLER(%): recent=9.17, baseline=3.06, change=199.59% | DL RBLER: recent=0.38, baseline=0.17, change=124.54% | (HU)CEU User Downlink Average Througput: recent=4.64, baseline=15.10, change=69.30% | DL Traffic QCI-9: recent=1.29, baseline=4.20, change=69.35%",Control Channel Congestion,DL_CCE_AllocFail (%),DL CCE allocation failure increased - directly blocks scheduling.,"Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical.","Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check interference, CQI, MCS, antenna tilt, and DL power. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CEU parameters, ICIC, and edge coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN10586,LCAIN10586-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,6.408675000000001,17.223399999999998,64.51203796963952,2,"DL RBLER: recent=0.96, baseline=0.53, change=80.56% | (HU) PDSCH MCS: recent=11.56, baseline=15.49, change=25.37%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN12929,LCAIN12929-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,13.042250000000001,33.780575,61.17375703342889,5,"6.6-14 km: recent=1.00, baseline=0.25, change=300.00% | DL Traffic QCI-9: recent=12.34, baseline=33.15, change=62.79% | L.CA.UE.Avg: recent=6.02, baseline=8.71, change=30.86% | L.CA.DLSCell.Act.Att: recent=20797.25, baseline=28207.00, change=26.27% | TA Weighted Avg (meter): recent=773.91, baseline=634.53, change=21.97%",Extended Coverage Issue,6.6-14 km,High TA bin indicates users at cell edge or beyond planned coverage.,"Check coverage extension, overshooting, pilot pollution, and cell size.","Check coverage extension, overshooting, pilot pollution, and cell size. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers. | Check coverage shift, antenna tilt, and traffic migration."
LCAIN10116,LCAIN10116-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,15.96995,37.726124999999996,59.57895196256544,2,"3.5-6.6 km: recent=109.50, baseline=35.75, change=206.29% | DL Traffic QCI-9: recent=4.36, baseline=9.57, change=54.45%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN12868,LCAIN12868-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,16.235475,32.765325,56.789979942658206,6,"3.5-6.6 km: recent=302.00, baseline=175.00, change=72.57% | DL Traffic QCI-9: recent=3.20, baseline=10.82, change=70.46% | L.CA.DLSCell.Act.Att: recent=8232.75, baseline=24247.25, change=66.05% | L.CA.UE.Avg: recent=1.85, baseline=4.53, change=59.13% | L.CA.DLSCell.Add.Att: recent=3911.25, baseline=9373.75, change=58.27%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA activation, SCell availability, and CA parameters. | Check CA configuration and inter-frequency measurements."
LCAIN12012,LCAIN12012-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,3.7625,8.777275,54.943020643001574,5,"3.5-6.6 km: recent=0.75, baseline=0.25, change=200.00% | DL_CCE_AllocFail (%): recent=0.09, baseline=0.06, change=46.74% | L.Traffic.User.BorderUE.Avg: recent=0.21, baseline=0.13, change=62.39% | DL RBLER: recent=0.28, baseline=0.22, change=30.62% | (HU) PDSCH MCS: recent=11.68, baseline=13.76, change=15.16%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check coverage overlap, handover zones, and cell dominance. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN12799,LCAIN12799-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,11.511499999999998,23.507325,53.18393426430214,3,"DL RBLER: recent=0.53, baseline=0.23, change=125.75% | L.Traffic.User.BorderUE.Avg: recent=0.35, baseline=0.21, change=68.56% | L.CA.DLSCell.Add.Att: recent=2340.50, baseline=3365.00, change=30.45%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check CA configuration and inter-frequency measurements."
LCAIN12691,LCAIN12691-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,4.33695,12.174824999999998,51.69761900045696,5,"DL Traffic QCI-9: recent=3.61, baseline=6.95, change=48.04% | L.CA.DLSCell.Add.Att: recent=5412.25, baseline=8813.75, change=38.59% | L.CA.UE.Avg: recent=4.68, baseline=7.25, change=35.42% | (HU)CEU Cell Downlink Average Throughput: recent=15.98, baseline=20.50, change=22.05% | L.CA.DLSCell.Act.Att: recent=8701.25, baseline=12218.00, change=28.78%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements. | Check CA activation, SCell availability, and CA parameters. | Check CEU scheduling, cell edge SINR, and coverage. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN14000,LCAIN14000-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,26.214025,50.27295,48.365133096507584,1,"DL RBLER: recent=0.10, baseline=0.04, change=133.89%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions."
LCAIN12901,LCAIN12901-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,3.264125,6.5362,48.21760201262162,6,"L.Traffic.User.BorderUE.Avg: recent=0.10, baseline=0.06, change=53.09% | (HU) User DL Average Throughput (Mbps): recent=23.11, baseline=35.43, change=34.78% | DL Traffic QCI-9: recent=3.26, baseline=6.53, change=50.12% | (HU) Cell DL Average Throughput (Mbps): recent=15.20, baseline=22.35, change=31.97% | DL_CCE_AllocFail (%): recent=0.27, baseline=0.24, change=13.03%",Border UE Increase,L.Traffic.User.BorderUE.Avg,Border/cell edge users increased.,"Check coverage overlap, handover zones, and cell dominance.","Check coverage overlap, handover zones, and cell dominance. | Check radio quality, PRB load, scheduler behavior, and user distribution. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical."
LCAIN10988,LCAIN10988-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,39.864325,63.4221,44.10973982838384,0,None,Unknown,No strong related counter detected,"Main KPI degraded, but no related counter passed its threshold.","Check raw counters, alarms, availability, recent changes, and nearby cells manually.",Manual investigation needed
LCAIN12371,LCAIN12371-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,5.3629750000000005,8.8153,43.60705761969387,7,"3.5-6.6 km: recent=66.50, baseline=19.75, change=236.71% | DL RBLER: recent=0.52, baseline=0.24, change=113.15% | L.Traffic.User.BorderUE.Avg: recent=0.46, baseline=0.19, change=138.86% | TA Weighted Avg (meter): recent=1161.42, baseline=744.30, change=56.04% | DL Traffic QCI-9: recent=5.33, baseline=8.69, change=38.66%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check coverage shift, antenna tilt, and traffic migration. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN12868,LCAIN12868-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,5.17845,9.630225,42.28209751748711,5,"DL Traffic QCI-9: recent=4.13, baseline=8.83, change=53.21% | L.CA.DLSCell.Act.Att: recent=8995.00, baseline=14719.25, change=38.89% | MAC CA Traffic Ratio: recent=36.86, baseline=60.10, change=38.67% | L.CA.DLSCell.Add.Att: recent=5920.25, baseline=9400.75, change=37.02% | L.CA.UE.Avg: recent=2.58, baseline=3.65, change=29.28%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA activation, SCell availability, CA bands, and CA parameters. | Check CA configuration and inter-frequency measurements. | Check CA activation, SCell availability, and CA parameters."
LCAIN12245,LCAIN12245-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,41.666799999999995,62.823750000000004,41.12888541583523,4,"3.5-6.6 km: recent=3.25, baseline=0.75, change=333.33% | DL RBLER: recent=0.25, baseline=0.20, change=22.79% | L.Traffic.User.BorderUE.Avg: recent=1.70, baseline=1.25, change=35.66% | L.CA.UE.Avg: recent=4.02, baseline=5.10, change=21.11%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check CA activation, SCell availability, and CA parameters."
LCAIN12265,LCAIN12265-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,26.026575,41.8419,37.9512359502584,1,"L.Traffic.User.BorderUE.Avg: recent=0.72, baseline=0.37, change=97.90%",Border UE Increase,L.Traffic.User.BorderUE.Avg,Border/cell edge users increased.,"Check coverage overlap, handover zones, and cell dominance.","Check coverage overlap, handover zones, and cell dominance."
LCAIN10458,LCAIN10458-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,18.96825,31.675200000000004,37.726537970856334,1,"DL Traffic QCI-9: recent=7.25, baseline=9.97, change=27.32%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN10859,LCAIN10859-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,12.107875,18.4797,35.874131020576414,8,"DL RBLER: recent=0.76, baseline=0.46, change=64.48% | 3.5-6.6 km: recent=6964.75, baseline=3480.00, change=100.14% | (HU)CEU Cell Downlink Average Throughput: recent=7.52, baseline=10.12, change=25.70% | (HU)CEU User Downlink Average Througput: recent=9.09, baseline=12.11, change=24.99% | DL Traffic QCI-9: recent=11.91, baseline=18.46, change=35.49%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage, cell dominance, and neighbor relationships. | Check CEU scheduling, cell edge SINR, and coverage. | Check CEU parameters, ICIC, and edge coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend."
