eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,number_of_detected_causes,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10650_Site_0650,LCAIN10650-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,0.5549333333333333,2.5201333333333333,66.30849947534104,7,"DL RBLER: recent=0.53, baseline=0.13, change=326.09% | DL_CCE_AllocFail (%): recent=0.05, baseline=0.03, change=68.50% | (HU)CEU Cell Downlink Average Throughput: recent=4.01, baseline=9.46, change=57.62% | DL Traffic QCI-9: recent=0.42, baseline=0.84, change=50.39% | (HU)CEU User Downlink Average Througput: recent=9.53, baseline=13.76, change=30.79%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU parameters, ICIC, and edge coverage."
LCAIN10582,LCAIN10582-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,10.0842,27.52563333333333,66.0538174327282,5,"L.CA.DLSCell.Add.Att: recent=4268.67, baseline=16775.33, change=74.55% | (HU) Cell Unavail Time (s): recent=15.00, baseline=11.67, change=28.57% | L.CA.DLSCell.Act.Att: recent=4771.67, baseline=15075.67, change=68.35% | DL Traffic QCI-9: recent=3.36, baseline=9.63, change=65.13% | MAC CA Traffic Ratio: recent=24.21, baseline=34.40, change=29.60%",SCell Addition Issue,L.CA.DLSCell.Add.Att,SCell addition attempts decreased.,Check CA configuration and inter-frequency measurements.,"Check CA configuration and inter-frequency measurements. | Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check SCell configuration, CA licensing, and secondary carriers. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, CA bands, and CA parameters."
LCAIN10514,LCAIN10514-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,3.1463666666666668,8.381966666666665,63.726945595762615,3,"DL_CCE_AllocFail (%): recent=0.12, baseline=0.07, change=63.59% | DL RBLER: recent=0.40, baseline=0.32, change=24.29% | (HU)CEU User Downlink Average Througput: recent=16.84, baseline=24.27, change=30.59%",Control Channel Congestion,DL_CCE_AllocFail (%),DL CCE allocation failure increased - directly blocks scheduling.,"Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical.","Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CEU parameters, ICIC, and edge coverage."
LCAIN12691,LCAIN12691-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,4.225633333333334,13.649000000000001,63.647034242029456,6,"DL Traffic QCI-9: recent=3.72, baseline=7.40, change=49.75% | L.CA.DLSCell.Add.Att: recent=5474.67, baseline=9239.33, change=40.75% | (HU)CEU Cell Downlink Average Throughput: recent=15.86, baseline=21.00, change=24.47% | L.CA.DLSCell.Act.Att: recent=8654.33, baseline=13223.33, change=34.55% | L.CA.UE.Avg: recent=5.06, baseline=7.36, change=31.33%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements. | Check CEU scheduling, cell edge SINR, and coverage. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA activation, SCell availability, and CA parameters."
LCAIN10116,LCAIN10116-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,14.52816666666667,42.5163,63.055621801104365,2,"3.5-6.6 km: recent=98.67, baseline=42.00, change=134.92% | DL Traffic QCI-9: recent=3.11, baseline=10.96, change=71.60%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check packet data service, APN/data service, user demand, and internet traffic trend."
ICAIN12708,ICAIN12708-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,0.39363333333333334,1.3165000000000002,62.02489900239097,4,"DL Traffic QCI-9: recent=0.05, baseline=0.33, change=84.89% | (HU) Cell DL Average Throughput (Mbps): recent=5.91, baseline=11.58, change=48.97% | DL Average CQI: recent=8.03, baseline=10.92, change=26.48% | (HU) PDSCH MCS: recent=8.50, baseline=11.58, change=26.57%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check interference, PCI conflict/confusion, antenna tilt, azimuth, and coverage. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN12868,LCAIN12868-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,8.115266666666665,23.314766666666667,60.47374976049051,5,"L.CA.DLSCell.Act.Att: recent=10365.00, baseline=45578.33, change=77.26% | DL Traffic QCI-9: recent=5.88, baseline=21.39, change=72.52% | L.CA.DLSCell.Add.Att: recent=8201.33, baseline=25193.67, change=67.45% | L.CA.UE.Avg: recent=3.77, baseline=11.55, change=67.39% | MAC CA Traffic Ratio: recent=42.67, baseline=55.60, change=23.25%",SCell Activation Issue,L.CA.DLSCell.Act.Att,SCell activation attempts decreased.,"Check SCell configuration, CA licensing, and secondary carriers.","Check SCell configuration, CA licensing, and secondary carriers. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements. | Check CA activation, SCell availability, and CA parameters. | Check CA activation, SCell availability, CA bands, and CA parameters."
LCAIN12691,LCAIN12691-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,13.225200000000001,29.508499999999998,57.91843336101762,6,"MAC CA Traffic Ratio: recent=3.21, baseline=24.85, change=87.09% | (HU)CEU Cell Downlink Average Throughput: recent=9.33, baseline=19.37, change=51.84% | L.CA.DLSCell.Act.Att: recent=1397.00, baseline=3849.00, change=63.70% | (HU)CEU User Downlink Average Througput: recent=13.04, baseline=21.86, change=40.34% | L.CA.DLSCell.Add.Att: recent=1366.33, baseline=2458.33, change=44.42%",Carrier Aggregation Issue,MAC CA Traffic Ratio,CA traffic ratio decreased.,"Check CA activation, SCell availability, CA bands, and CA parameters.","Check CA activation, SCell availability, CA bands, and CA parameters. | Check CEU scheduling, cell edge SINR, and coverage. | Check SCell configuration, CA licensing, and secondary carriers. | Check CEU parameters, ICIC, and edge coverage. | Check CA configuration and inter-frequency measurements."
LCAIN12929,LCAIN12929-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,14.736200000000002,36.2853,57.90696313484824,5,"6.6-14 km: recent=1.00, baseline=0.33, change=200.00% | DL Traffic QCI-9: recent=13.91, baseline=35.48, change=60.80% | L.CA.UE.Avg: recent=6.02, baseline=9.18, change=34.39% | L.CA.DLSCell.Act.Att: recent=21647.33, baseline=30511.00, change=29.05% | TA Weighted Avg (meter): recent=816.40, baseline=675.39, change=20.88%",Extended Coverage Issue,6.6-14 km,High TA bin indicates users at cell edge or beyond planned coverage.,"Check coverage extension, overshooting, pilot pollution, and cell size.","Check coverage extension, overshooting, pilot pollution, and cell size. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers. | Check coverage shift, antenna tilt, and traffic migration."
LCAIN16546,LCAIN16546-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,3.949566666666667,9.475033333333334,54.68355504635818,3,"DL RBLER: recent=0.57, baseline=0.35, change=63.23% | DL Traffic QCI-9: recent=3.36, baseline=9.47, change=64.54% | DL_CCE_AllocFail (%): recent=0.35, baseline=0.29, change=21.08%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical."
LCAIN12901,LCAIN12901-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,3.0459333333333336,6.642366666666667,54.5149476194532,6,"DL Traffic QCI-9: recent=3.04, baseline=6.64, change=54.19% | L.Traffic.User.BorderUE.Avg: recent=0.10, baseline=0.07, change=53.41% | DL_CCE_AllocFail (%): recent=0.32, baseline=0.25, change=24.95% | (HU) User DL Average Throughput (Mbps): recent=25.84, baseline=33.98, change=23.95% | (HU) Cell DL Average Throughput (Mbps): recent=16.79, baseline=21.66, change=22.50%",Default Bearer Traffic Drop,DL Traffic QCI-9,QCI-9 DL traffic decreased.,"Check packet data service, APN/data service, user demand, and internet traffic trend.","Check packet data service, APN/data service, user demand, and internet traffic trend. | Check coverage overlap, handover zones, and cell dominance. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check radio quality, PRB load, scheduler behavior, and user distribution. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion."
LCAIN12371,LCAIN12371-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,5.626033333333333,9.241100000000001,47.89149222767361,7,"3.5-6.6 km: recent=79.33, baseline=23.33, change=240.00% | DL RBLER: recent=0.55, baseline=0.29, change=87.53% | L.Traffic.User.BorderUE.Avg: recent=0.57, baseline=0.24, change=142.88% | TA Weighted Avg (meter): recent=1201.44, baseline=792.37, change=51.63% | DL Traffic QCI-9: recent=5.59, baseline=9.08, change=38.41%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check coverage shift, antenna tilt, and traffic migration. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN10582,LCAIN10582-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,10.4751,24.78486666666667,46.10865543489007,5,"L.CA.DLSCell.Act.Att: recent=17354.00, baseline=46892.67, change=62.99% | L.CA.DLSCell.Add.Att: recent=13275.33, baseline=35706.33, change=62.82% | (HU) Cell Unavail Time (s): recent=16.67, baseline=13.33, change=25.00% | DL Traffic QCI-9: recent=8.83, baseline=20.79, change=57.53% | MAC CA Traffic Ratio: recent=42.38, baseline=58.21, change=27.19%",SCell Activation Issue,L.CA.DLSCell.Act.Att,SCell activation attempts decreased.,"Check SCell configuration, CA licensing, and secondary carriers.","Check SCell configuration, CA licensing, and secondary carriers. | Check CA configuration and inter-frequency measurements. | Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, CA bands, and CA parameters."
LCAIN11651,LCAIN11651-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,2.5174333333333334,4.619599999999999,42.668650151995344,7,"(HU) Cell Unavail Time (s): recent=7970.00, baseline=2510.00, change=217.53% | DL_CCE_AllocFail (%): recent=0.48, baseline=0.37, change=29.32% | DL Traffic QCI-9: recent=2.51, baseline=4.09, change=38.66% | L.CA.DLSCell.Act.Att: recent=7600.67, baseline=11628.67, change=34.64% | L.CA.DLSCell.Add.Att: recent=6602.00, baseline=8579.33, change=23.05%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA configuration and inter-frequency measurements."
LCAIN12012,LCAIN12012-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,3.9522999999999997,7.517933333333333,41.66413895496415,4,"3.5-6.6 km: recent=1.00, baseline=0.33, change=200.00% | DL RBLER: recent=0.31, baseline=0.22, change=39.38% | L.Traffic.User.BorderUE.Avg: recent=0.25, baseline=0.14, change=78.21% | DL_CCE_AllocFail (%): recent=0.10, baseline=0.07, change=35.47%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical."
LCAIN10022_Tagmoa1,LCAIN10022-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,5.136066666666667,7.912933333333334,37.97974049624403,3,"DL RBLER: recent=0.44, baseline=0.29, change=49.45% | DL Traffic QCI-9: recent=1.31, baseline=3.92, change=66.68% | (HU) Cell DL Average Throughput (Mbps): recent=7.91, baseline=9.98, change=20.80%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion."
LCAIN13986,LCAIN13986-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,79.88056666666667,122.75456666666666,36.36329328223982,2,"DL RBLER: recent=0.22, baseline=0.15, change=45.70% | 6.6-14 km: recent=15.00, baseline=11.67, change=28.57%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage extension, overshooting, pilot pollution, and cell size."
LCAIN12256,LCAIN12256-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,2.9784333333333333,4.978433333333334,36.10689224262232,2,"(HU)CEU Cell Downlink Average Throughput: recent=7.05, baseline=13.36, change=47.27% | DL Traffic QCI-9: recent=2.67, baseline=4.37, change=38.85%",Cell Edge Throughput,(HU)CEU Cell Downlink Average Throughput,Cell edge user throughput degraded.,"Check CEU scheduling, cell edge SINR, and coverage.","Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN12864,LCAIN12864-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,38.408966666666664,56.6284,35.02943717545625,2,"3.5-6.6 km: recent=1.00, baseline=0.67, change=50.00% | DL_CCE_AllocFail (%): recent=0.25, baseline=0.21, change=18.73%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical."
LCAIN10859,LCAIN10859-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,12.567533333333332,18.772000000000002,32.698224547117796,8,"DL RBLER: recent=0.75, baseline=0.48, change=57.20% | 3.5-6.6 km: recent=7262.33, baseline=3990.33, change=82.00% | 6.6-14 km: recent=1431.67, baseline=1071.00, change=33.68% | (HU)CEU Cell Downlink Average Throughput: recent=7.59, baseline=9.90, change=23.38% | DL Traffic QCI-9: recent=12.47, baseline=18.76, change=33.51%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage, cell dominance, and neighbor relationships. | Check coverage extension, overshooting, pilot pollution, and cell size. | Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN10118_CITY center,LCAIN10118-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,13.117833333333335,19.212366666666668,30.85006666162096,2,"3.5-6.6 km: recent=44.00, baseline=31.00, change=41.94% | DL Traffic QCI-9: recent=12.94, baseline=19.15, change=32.42%",Cell Edge Users Increase,3.5-6.6 km,Users at cell edge increased.,"Check coverage, cell dominance, and neighbor relationships.","Check coverage, cell dominance, and neighbor relationships. | Check packet data service, APN/data service, user demand, and internet traffic trend."
